ds;y
01/01/2015;1
02/01/2015;16
03/01/2015;81
04/01/2015;256
05/01/2015;625
06/01/2015;1296
07/01/2015;2401
08/01/2015;4096
09/01/2015;6561
10/01/2015;10000
11/01/2015;14641
12/01/2015;20736
13/01/2015;28561
14/01/2015;38416
15/01/2015;50625
16/01/2015;65536
17/01/2015;83521
18/01/2015;104976
19/01/2015;130321
20/01/2015;160000
21/01/2015;194481
22/01/2015;234256
23/01/2015;279841
24/01/2015;331776
25/01/2015;390625
26/01/2015;456976
27/01/2015;531441
28/01/2015;614656
29/01/2015;707281
30/01/2015;810000
31/01/2015;923521
01/02/2015;1048576
02/02/2015;1185921
03/02/2015;1336336
04/02/2015;1500625
05/02/2015;1679616
06/02/2015;1874161
07/02/2015;2085136
08/02/2015;2313441
09/02/2015;2560000
10/02/2015;2825761
11/02/2015;3111696
12/02/2015;3418801
13/02/2015;3748096
14/02/2015;4100625
15/02/2015;4477456
16/02/2015;4879681
17/02/2015;5308416
18/02/2015;5764801
19/02/2015;6250000
20/02/2015;6765201
21/02/2015;7311616
22/02/2015;7890481
23/02/2015;8503056
24/02/2015;9150625
25/02/2015;9834496
26/02/2015;10556001
27/02/2015;11316496
28/02/2015;12117361
01/03/2015;12960000
02/03/2015;13845841
03/03/2015;14776336
04/03/2015;15752961
05/03/2015;16777216
06/03/2015;17850625
07/03/2015;18974736
08/03/2015;20151121
09/03/2015;21381376
10/03/2015;22667121
11/03/2015;24010000
12/03/2015;25411681
13/03/2015;26873856
14/03/2015;28398241
15/03/2015;29986576
16/03/2015;31640625
17/03/2015;33362176
18/03/2015;35153041
19/03/2015;37015056
20/03/2015;38950081
21/03/2015;40960000
22/03/2015;43046721
23/03/2015;45212176
24/03/2015;47458321
25/03/2015;49787136
26/03/2015;52200625
27/03/2015;54700816
28/03/2015;57289761
29/03/2015;59969536
30/03/2015;62742241
31/03/2015;65610000
01/04/2015;68574961
02/04/2015;71639296
03/04/2015;74805201
04/04/2015;78074896
05/04/2015;81450625
06/04/2015;84934656
07/04/2015;88529281
08/04/2015;92236816
09/04/2015;96059601
10/04/2015;100000000
11/04/2015;104060401
12/04/2015;108243216
13/04/2015;112550881
14/04/2015;116985856
15/04/2015;121550625
16/04/2015;126247696
17/04/2015;131079601
18/04/2015;136048896
19/04/2015;141158161
20/04/2015;146410000
21/04/2015;151807041
22/04/2015;157351936
23/04/2015;163047361
24/04/2015;168896016
25/04/2015;174900625
26/04/2015;181063936
27/04/2015;187388721
28/04/2015;193877776
29/04/2015;200533921
30/04/2015;207360000
01/05/2015;214358881
02/05/2015;221533456
03/05/2015;228886641
04/05/2015;236421376
05/05/2015;244140625
06/05/2015;252047376
07/05/2015;260144641
08/05/2015;268435456
09/05/2015;276922881
10/05/2015;285610000
11/05/2015;294499921
12/05/2015;303595776
13/05/2015;312900721
14/05/2015;322417936
15/05/2015;332150625
16/05/2015;342102016
17/05/2015;352275361
18/05/2015;362673936
19/05/2015;373301041
20/05/2015;384160000
21/05/2015;395254161
